"sgRNA"	"Gene"	"mito_mock_1"	"mito_mock_2"	"mito_rcVSV_1"	"mito_rcVSV_2"	"mito_hku5_1"	"mito_hku5_2"	"mito_sars2_1"	"mito_sars2_2"	"mito_mers_1"	"mito_mers_2"	"mito_t1015n_1"	"mito_t1015n_2"	"mito_emcv_1"	"mito_emcv_2"	"mito_iav_1"	"mito_iav_2"
"CTRL_252.1"	"CTRL"	2037	2432	686	2210	2232	2373	1630	2608	2215	1046	1786	2226	1778	1258	1390	2427
"CTRL_252.2"	"CTRL"	4209	4698	2686	8887	6945	7268	6382	4652	5334	2375	2273	2963	19472	5476	5549	606
"CTRL_252.3"	"CTRL"	793	831	495	1241	1146	1045	1078	1019	1148	567	1060	819	266	551	971	19
"CTRL_267"	"CTRL"	2294	3049	1746	5066	4059	4254	4123	4386	3776	1932	3841	2429	990	571	1232	2551
"CTRL_267.1"	"CTRL"	1063	956	701	1662	1328	1321	1753	1860	1430	721	800	1138	1225	477	6	22
"CTRL_267.2"	"CTRL"	1632	1760	1428	3800	2378	2869	2407	3589	1882	953	965	1277	5097	1021	1411	1209
"CTRL_267.3"	"CTRL"	2262	2543	988	3349	2223	2989	2946	3111	2457	1119	2575	2948	5824	1413	3458	2054
"CTRL_288"	"CTRL"	2011	2279	1038	2513	2026	1976	1862	2211	2667	1072	2499	2477	2132	3501	1218	2064
"CTRL_288.1"	"CTRL"	1599	2168	720	1637	2108	2079	1841	1653	2256	2056	3664	2244	3926	721	826	735
"CTRL_288.2"	"CTRL"	2681	3456	1979	6212	4439	5212	4759	4125	4724	1837	5214	4193	7078	1768	2401	692
"CTRL_288.3"	"CTRL"	2361	2840	613	2271	2004	2241	1322	1575	2682	1320	2203	2164	10033	2187	1333	897
"CTRL_298"	"CTRL"	1267	1606	599	1652	1175	1512	1507	1253	1888	809	2823	1272	1120	844	916	846
"CTRL_298.1"	"CTRL"	2056	2127	888	2619	2216	2264	1442	1355	1577	908	1238	2008	6770	1502	490	2620
"CTRL_298.2"	"CTRL"	3156	4323	1921	7619	3746	5732	4998	5604	3418	1736	2820	2634	9742	1835	2755	2292
"CTRL_298.3"	"CTRL"	1887	2474	1163	3017	2966	3115	2432	2633	3457	1326	2188	2806	4309	734	794	567
"CTRL_317"	"CTRL"	1577	1622	565	1638	1377	1579	1085	1184	1887	879	1765	850	4439	2009	2072	3436
"CTRL_317.1"	"CTRL"	2858	3125	1573	4872	3484	4806	4192	5468	3634	2098	3412	2896	6491	1620	1725	2767
"CTRL_317.2"	"CTRL"	1865	1845	836	2277	1773	2032	1946	1748	1952	759	1031	462	4768	1954	1778	1551
"CTRL_317.3"	"CTRL"	2568	3339	1400	3935	3090	4562	2710	2889	3456	2778	2342	3313	14834	5157	1257	733
"CTRL_330"	"CTRL"	1153	1601	171	859	635	1063	540	693	496	506	394	297	2573	1192	881	917
"CTRL_330.1"	"CTRL"	1157	1273	445	1280	763	1227	911	1150	903	883	842	783	1595	701	195	1123
"CTRL_330.2"	"CTRL"	1838	1957	723	2577	1853	2306	1832	2250	1221	956	1376	1028	3402	1447	1315	1222
"CTRL_330.3"	"CTRL"	857	998	271	934	729	886	848	594	634	357	1333	614	1442	257	984	235
"CTRL_343"	"CTRL"	5647	5728	1741	5979	4561	6239	4614	5570	3106	2190	3902	4122	21938	6442	5703	1874
"CTRL_343.1"	"CTRL"	2763	2949	1760	6382	6292	4893	4725	9155	4050	1411	2947	2659	14066	1804	3842	4961
"CTRL_343.2"	"CTRL"	1745	1999	1707	4669	2909	4713	4037	5423	4278	2510	2177	3631	519	705	3510	417
